Date,Open,High,Low,Close,Adj Close,Volume
2008-03-14,14.390100,14.390100,14.117500,14.117500,9.030309,85800360
2008-03-17,13.899500,14.499100,13.790500,14.417300,9.222075,194588201
2008-03-18,14.444600,14.499100,14.035800,14.035800,8.978047,83727267
2008-03-19,14.444600,14.717100,14.417300,14.717100,9.413843,102799721
2008-03-20,14.635400,15.725500,14.526400,15.725500,10.058870,231538788
2008-03-21,16.079800,16.761200,16.079800,16.379601,10.477270,236090419
2008-03-24,17.524300,17.524300,16.570400,16.897499,10.808543,381250950
2008-03-25,16.515900,16.897499,16.406900,16.624901,10.634175,159800602
2008-03-26,16.488600,16.979200,16.488600,16.897499,10.808543,171044838
2008-03-27,16.624901,16.679399,15.861800,16.079800,10.285499,137014927
2008-03-28,16.079800,16.243401,15.725500,15.861800,10.146056,169070813
2008-03-31,15.943600,16.025299,15.507500,15.998100,10.233239,167740731
2008-04-01,16.161600,16.161600,15.698300,15.698300,10.041472,83283295
2008-04-02,16.079800,16.406900,15.970800,16.297899,10.425008,101816378
2008-04-03,16.297899,16.297899,15.780100,15.807300,10.111194,127542910
2008-04-07,16.134300,16.134300,15.807300,16.025299,10.250639,106434055
2008-04-08,16.297899,16.297899,15.834500,15.916300,10.180916,74101145
2008-04-09,15.807300,15.943600,15.589300,15.698300,10.041472,101311865
2008-04-10,15.698300,16.079800,15.698300,16.079800,10.285499,82606329
2008-04-11,16.243401,17.197300,16.216101,17.115499,10.947989,273374903
2008-04-14,17.170000,17.551500,16.952000,17.388000,11.122295,146985953
2008-04-15,17.442499,17.715099,17.224501,17.687799,11.314061,127034727
2008-04-16,17.742300,17.824100,17.497000,17.715099,11.331524,79874617
2008-04-17,17.769600,17.796801,17.333500,17.633301,11.279201,99035132
2008-04-18,17.660601,17.769600,17.415300,17.606100,11.261802,99524969
2008-04-21,17.715099,17.715099,17.006500,17.033701,10.895665,89023744
2008-04-22,16.706699,17.224501,16.706699,16.815701,10.756222,72195000
2008-04-23,16.897499,17.061001,16.788401,16.843000,10.773684,44876039
2008-04-24,16.897499,17.333500,16.870199,17.006500,10.878266,56852278
2008-04-25,17.088200,17.278999,16.788401,16.897499,10.808543,62297358
2008-04-28,16.897499,17.333500,16.897499,17.333500,11.087434,72411482
2008-04-29,17.415300,17.660601,17.170000,17.278999,11.052572,138634874
2008-04-30,17.442499,17.606100,17.115499,17.306299,11.070033,90573977
2008-05-02,17.578800,17.769600,17.497000,17.715099,11.331524,66313287
2008-05-05,17.769600,17.769600,17.061001,17.088200,10.930528,54914946
2008-05-06,17.115499,17.142700,16.515900,16.706699,10.686498,77423597
2008-05-07,16.788401,16.897499,16.461399,16.515900,10.564450,108984143
2008-05-08,16.461399,16.570400,16.325100,16.379601,10.477270,60624207
2008-05-09,16.461399,16.706699,16.079800,16.079800,10.285499,81786265
2008-05-12,16.352400,16.406900,15.889100,16.325100,10.442406,97829802
2008-05-13,16.352400,16.761200,16.243401,16.679399,10.669036,84673918
2008-05-14,16.624901,16.897499,16.543200,16.815701,10.756222,58921702
2008-05-15,16.979200,17.306299,16.870199,17.197300,11.000313,59317975
2008-05-16,17.197300,17.388000,16.897499,17.170000,10.982848,43468905
2008-05-19,17.333500,17.442499,17.142700,17.388000,11.122295,52210752
2008-05-20,17.388000,17.415300,16.679399,16.897499,10.808543,71868442
2008-05-21,16.788401,16.870199,16.488600,16.788401,10.738757,46472137
2008-05-22,16.406900,16.897499,16.161600,16.815701,10.756222,58198871
2008-05-23,16.788401,16.924700,16.515900,16.515900,10.564450,39251170
2008-05-26,16.297899,16.761200,16.297899,16.406900,10.494731,59721586
2008-05-27,16.570400,16.652201,16.434099,16.597700,10.616776,40166633
2008-05-28,16.652201,16.788401,16.243401,16.243401,10.390147,56074410
2008-05-29,16.379601,16.597700,16.297899,16.461399,10.529590,44399045
2008-05-30,16.652201,16.897499,16.434099,16.897499,10.808543,70088885
2008-06-02,16.897499,17.006500,16.733900,16.952000,10.843405,36482765
2008-06-03,16.870199,16.979200,16.352400,16.515900,10.564450,45121875
2008-06-04,16.570400,16.679399,16.406900,16.624901,10.634175,26469543
2008-06-05,16.706699,16.706699,16.270599,16.652201,10.651637,41375631
2008-06-06,16.788401,16.843000,16.570400,16.788401,10.738757,41992055
2008-06-09,16.352400,16.379601,16.243401,16.243401,10.390147,48649802
2008-06-10,16.352400,16.352400,15.671000,15.698300,10.041472,64359443
2008-06-11,15.943600,15.943600,15.589300,15.752800,10.076332,35789288
2008-06-12,15.425700,15.725500,15.425700,15.480300,9.902026,51755772
2008-06-13,15.807300,15.916300,15.534800,15.562000,9.954286,45960285
2008-06-16,15.916300,16.297899,15.780100,16.243401,10.390147,55525866
2008-06-17,16.352400,16.352400,15.998100,16.107100,10.302960,30419427
2008-06-18,16.406900,16.461399,16.134300,16.134300,10.320360,30067185
2008-06-19,15.970800,16.079800,15.807300,15.970800,10.215777,38271496
2008-06-20,16.025299,16.025299,15.371200,15.562000,9.954286,47488503
2008-06-23,15.425700,15.889100,15.262200,15.643800,10.006611,48651637
2008-06-24,15.807300,15.943600,15.562000,15.671000,10.024009,40601432
2008-06-25,15.698300,16.025299,15.698300,15.807300,10.111194,65351959
2008-06-26,16.025299,16.025299,15.589300,15.698300,10.041472,31021174
2008-06-27,15.289500,15.398500,14.989700,15.289500,9.779981,111728698
2008-06-30,14.989700,15.970800,14.826200,15.970800,10.215777,66076624
2008-07-01,14.853400,15.180500,14.853400,14.853400,9.501027,45442929
2008-07-02,13.926800,14.172100,13.817800,13.817800,8.838602,154586682
2008-07-03,13.245400,13.518000,12.754900,13.436200,8.720737,283876127
2008-07-04,13.109200,13.272700,12.809400,12.918400,8.384660,132520168
2008-07-07,13.109200,13.817800,13.054700,13.599700,8.826857,106641364
2008-07-08,13.490700,13.490700,12.891100,13.081900,8.490779,100961457
2008-07-09,13.327200,13.572500,13.163700,13.163700,8.543871,86325054
2008-07-10,12.891100,13.518000,12.891100,13.081900,8.490779,40194152
2008-07-11,12.972900,13.054700,12.700300,12.972900,8.420032,101071533
2008-07-14,12.863900,12.891100,12.100800,12.209800,7.924744,136594804
2008-07-15,11.719200,11.719200,11.364900,11.637400,7.553228,161315978
2008-07-16,11.664700,12.046300,11.610200,11.910000,7.730158,91179394
2008-07-17,12.509600,12.727600,12.318800,12.564100,8.154701,106678056
2008-07-18,12.809400,12.809400,11.882700,12.019000,7.800906,73383818
2008-07-21,12.536800,12.836600,12.536800,12.836600,8.331567,73651669
2008-07-22,12.564100,13.000100,12.455100,13.000100,8.437687,84624384
2008-07-23,13.408900,13.899500,13.272700,13.627000,8.844575,97868329
2008-07-24,13.136400,13.572500,13.081900,13.572500,8.809200,94463320
2008-07-25,13.136400,13.245400,12.809400,12.863900,8.349287,54311364
2008-07-28,14.122400,14.122400,14.122400,14.122400,9.166114,0
2008-07-29,12.482300,12.482300,11.964500,12.128000,7.871652,89917192
2008-07-30,12.318800,12.373300,12.128000,12.264300,7.960117,55448813
2008-07-31,12.373300,12.509600,11.991700,12.182500,7.907024,56591766
2008-08-01,11.828200,12.209800,11.828200,12.182500,7.907024,44144036
2008-08-04,12.128000,12.291500,12.046300,12.209800,7.924744,33835444
